datetime,high
2018-07-25,8475.0
2018-07-26,8314.23
2018-07-27,8274.98
2018-07-28,8259.0
2018-07-29,8299.99
2018-07-30,8295.0
2018-07-31,8162.37
2018-08-01,7761.56
2018-08-02,7709.98
2018-08-03,7542.92
2018-08-04,7494.48
2018-08-05,7086.8
2018-08-06,7157.93
2018-08-07,7155.0
2018-08-08,6717.68
2018-08-09,6627.0
2018-08-10,6584.05
2018-08-11,6494.13
2018-08-12,6493.77
2018-08-13,6544.37
2018-08-14,6254.02
2018-08-15,6628.5
2018-08-16,6477.57
2018-08-17,6584.49
2018-08-18,6615.0
2018-08-19,6545.0
2018-08-20,6522.99
2018-08-21,6513.28
2018-08-22,6906.81
2018-08-23,6575.99
2018-08-24,6721.09
2018-08-25,6800.0
2018-08-26,6775.34
2018-08-27,6944.47
2018-08-28,7125.28
2018-08-29,7124.06
2018-08-30,7055.97
2018-08-31,7101.03
2018-09-01,7300.18
2018-09-02,7334.5
2018-09-03,7340.08
2018-09-04,7411.85
2018-09-05,7387.0
2018-09-06,6705.59
2018-09-07,6525.0
2018-09-08,6465.46
2018-09-09,6451.51
2018-09-10,6351.13
2018-09-11,6405.0
2018-09-12,6350.0
2018-09-13,6537.46
2018-09-14,6587.0
2018-09-15,6570.1
2018-09-16,6524.84
2018-09-17,6530.24
2018-09-18,6390.0
2018-09-19,6510.0
2018-09-20,6535.11
2018-09-21,6775.34
2018-09-22,6826.28
2018-09-23,6774.91
2018-09-24,6721.68
2018-09-25,6581.52
2018-09-26,6540.0
2018-09-27,6736.85
2018-09-28,6792.28
2018-09-29,6610.76
2018-09-30,6628.06
2018-10-01,6638.15
2018-10-02,6597.0
2018-10-03,6510.0
2018-10-04,6604.89
2018-10-05,6641.35
2018-10-06,6595.69
2018-10-07,6600.0
2018-10-08,6656.63
2018-10-09,6623.14
2018-10-10,6589.79
2018-10-11,6520.43
2018-10-12,6243.79
2018-10-13,6219.77
2018-10-14,6349.47
2018-10-15,6756.0
2018-10-16,6493.77
2018-10-17,6465.39
2018-10-18,6490.0
2018-10-19,6412.4
2018-10-20,6424.16
2018-10-21,6470.0
2018-10-22,6429.23
2018-10-23,6421.58
2018-10-24,6473.0
2018-10-25,6422.73
2018-10-26,6450.3
2018-10-27,6420.01
2018-10-28,6420.0
2018-10-29,6420.0
2018-10-30,6289.0
2018-10-31,6350.0
2018-11-01,6365.33
2018-11-02,6381.25
2018-11-03,6351.74
2018-11-04,6475.0
2018-11-05,6441.43
2018-11-06,6460.01
2018-11-07,6544.0
2018-11-08,6511.27
2018-11-09,6418.18
2018-11-10,6377.26
2018-11-11,6365.0
2018-11-12,6388.21
2018-11-13,6328.36
2018-11-14,6298.47
2018-11-15,5641.0
2018-11-16,5610.0
2018-11-17,5550.66
2018-11-18,5658.47
2018-11-19,5559.69
2018-11-20,4897.36
2018-11-21,4635.0
2018-11-22,4589.53
2018-11-23,4364.46
2018-11-24,4376.88
2018-11-25,4120.0
2018-11-26,4069.59
2018-11-27,3834.35
2018-11-28,4355.08
2018-11-29,4409.77
2018-11-30,4300.0
2018-12-01,4264.47
2018-12-02,4265.0
2018-12-03,4115.15
2018-12-04,4033.98
2018-12-05,3913.62
2018-12-06,3844.79
2018-12-07,3531.0
2018-12-08,3495.99
2018-12-09,3633.2
2018-12-10,3588.43
2018-12-11,3427.27
2018-12-12,3490.0
2018-12-13,3441.13
2018-12-14,3294.81
2018-12-15,3230.0
2018-12-16,3259.43
2018-12-17,3590.0
2018-12-18,3684.0
2018-12-19,3924.01
2018-12-20,4172.07
2018-12-21,4162.0
2018-12-22,4010.16
2018-12-23,4051.0
2018-12-24,4236.84
2018-12-25,4049.23
2018-12-26,3863.34
2018-12-27,3841.17
2018-12-28,3970.0
2018-12-29,3961.85
2018-12-30,3870.0
2018-12-31,3842.89
2019-01-01,3845.46
2019-01-02,3918.67
2019-01-03,3893.4
2019-01-04,3850.33
2019-01-05,3887.09
2019-01-06,4090.0
2019-01-07,4070.0
2019-01-08,4112.0
2019-01-09,4060.0
2019-01-10,4036.22
2019-01-11,3704.6
2019-01-12,3650.35
2019-01-13,3654.02
2019-01-14,3714.0
2019-01-15,3687.02
2019-01-16,3669.0
2019-01-17,3660.0
2019-01-18,3641.9
2019-01-19,3774.0
2019-01-20,3703.27
2019-01-21,3573.29
2019-01-22,3615.8
2019-01-23,3620.23
2019-01-24,3598.0
2019-01-25,3578.79
2019-01-26,3657.89
2019-01-27,3564.12
2019-01-28,3536.77
2019-01-29,3438.76
2019-01-30,3465.05
2019-01-31,3474.2
2019-02-01,3460.0
2019-02-02,3485.0
2019-02-03,3476.33
2019-02-04,3439.46
2019-02-05,3435.0
2019-02-06,3445.6
2019-02-07,3383.29
2019-02-08,3711.04
2019-02-09,3639.74
2019-02-10,3662.43
2019-02-11,3652.56
2019-02-12,3619.93
2019-02-13,3629.81
2019-02-14,3590.74
2019-02-15,3620.53
2019-02-16,3609.0
2019-02-17,3663.34
2019-02-18,3916.47
2019-02-19,4000.0
2019-02-20,3967.52
2019-02-21,3989.99
2019-02-22,3957.0
2019-02-23,4157.87
2019-02-24,4190.0
2019-02-25,3861.81
2019-02-26,3830.0
2019-02-27,3822.85
2019-02-28,3897.62
2019-03-01,3845.3
2019-03-02,3818.75
2019-03-03,3822.39
